,image,point,x,y
1,../../aesthetics/mit/females/i3.jpg,22.0,195.0,153.0
1,../../aesthetics/mit/females/i3.jpg,23.0,212.0,146.0
1,../../aesthetics/mit/females/i3.jpg,24.0,230.0,145.0
1,../../aesthetics/mit/females/i3.jpg,25.0,248.0,147.0
1,../../aesthetics/mit/females/i3.jpg,26.0,262.0,155.0
1,../../aesthetics/mit/females/i3.jpg,27.0,177.0,177.0
1,../../aesthetics/mit/females/i3.jpg,28.0,178.0,194.0
1,../../aesthetics/mit/females/i3.jpg,29.0,178.0,212.0
1,../../aesthetics/mit/females/i3.jpg,30.0,179.0,230.0
1,../../aesthetics/mit/females/i3.jpg,31.0,161.0,248.0
1,../../aesthetics/mit/females/i3.jpg,32.0,170.0,250.0
1,../../aesthetics/mit/females/i3.jpg,33.0,180.0,252.0
1,../../aesthetics/mit/females/i3.jpg,34.0,190.0,249.0
1,../../aesthetics/mit/females/i3.jpg,35.0,199.0,246.0
1,../../aesthetics/mit/females/i3.jpg,36.0,110.0,185.0
1,../../aesthetics/mit/females/i3.jpg,37.0,122.0,176.0
1,../../aesthetics/mit/females/i3.jpg,38.0,137.0,175.0
1,../../aesthetics/mit/females/i3.jpg,39.0,151.0,186.0
1,../../aesthetics/mit/females/i3.jpg,40.0,137.0,190.0
1,../../aesthetics/mit/females/i3.jpg,41.0,121.0,191.0
1,../../aesthetics/mit/females/i3.jpg,42.0,205.0,185.0
1,../../aesthetics/mit/females/i3.jpg,43.0,218.0,173.0
1,../../aesthetics/mit/females/i3.jpg,44.0,233.0,172.0
1,../../aesthetics/mit/females/i3.jpg,45.0,246.0,180.0
1,../../aesthetics/mit/females/i3.jpg,46.0,235.0,187.0
1,../../aesthetics/mit/females/i3.jpg,47.0,219.0,187.0
1,../../aesthetics/mit/females/i3.jpg,48.0,144.0,285.0
1,../../aesthetics/mit/females/i3.jpg,49.0,159.0,277.0
1,../../aesthetics/mit/females/i3.jpg,50.0,173.0,272.0
1,../../aesthetics/mit/females/i3.jpg,51.0,182.0,274.0
1,../../aesthetics/mit/females/i3.jpg,52.0,191.0,271.0
1,../../aesthetics/mit/females/i3.jpg,53.0,206.0,276.0
1,../../aesthetics/mit/females/i3.jpg,54.0,221.0,283.0
1,../../aesthetics/mit/females/i3.jpg,55.0,207.0,296.0
1,../../aesthetics/mit/females/i3.jpg,56.0,193.0,300.0
1,../../aesthetics/mit/females/i3.jpg,57.0,182.0,302.0
1,../../aesthetics/mit/females/i3.jpg,58.0,172.0,301.0
1,../../aesthetics/mit/females/i3.jpg,59.0,158.0,298.0
1,../../aesthetics/mit/females/i3.jpg,60.0,151.0,285.0
1,../../aesthetics/mit/females/i3.jpg,61.0,173.0,284.0
1,../../aesthetics/mit/females/i3.jpg,62.0,182.0,284.0
1,../../aesthetics/mit/females/i3.jpg,63.0,191.0,283.0
1,../../aesthetics/mit/females/i3.jpg,64.0,214.0,283.0
1,../../aesthetics/mit/females/i3.jpg,65.0,191.0,283.0
1,../../aesthetics/mit/females/i3.jpg,66.0,182.0,284.0
1,../../aesthetics/mit/females/i3.jpg,67.0,173.0,284.0
1,../../aesthetics/mit/females/i3.jpg,68.0,183.0,69.0
2,../../aesthetics/mit/males/i4.jpg,0.0,77.0,179.0
2,../../aesthetics/mit/males/i4.jpg,1.0,79.0,206.0
2,../../aesthetics/mit/males/i4.jpg,2.0,84.0,233.0
2,../../aesthetics/mit/males/i4.jpg,3.0,88.0,260.0
2,../../aesthetics/mit/males/i4.jpg,4.0,95.0,286.0
2,../../aesthetics/mit/males/i4.jpg,5.0,110.0,310.0
2,../../aesthetics/mit/males/i4.jpg,6.0,129.0,330.0
2,../../aesthetics/mit/males/i4.jpg,7.0,151.0,346.0
2,../../aesthetics/mit/males/i4.jpg,8.0,178.0,351.0
2,../../aesthetics/mit/males/i4.jpg,9.0,205.0,347.0
2,../../aesthetics/mit/males/i4.jpg,10.0,229.0,331.0
2,../../aesthetics/mit/males/i4.jpg,11.0,249.0,312.0
2,../../aesthetics/mit/males/i4.jpg,12.0,265.0,289.0
2,../../aesthetics/mit/males/i4.jpg,13.0,273.0,263.0
2,../../aesthetics/mit/males/i4.jpg,14.0,277.0,236.0
2,../../aesthetics/mit/males/i4.jpg,15.0,280.0,208.0
2,../../aesthetics/mit/males/i4.jpg,16.0,281.0,181.0
2,../../aesthetics/mit/males/i4.jpg,17.0,98.0,163.0
2,../../aesthetics/mit/males/i4.jpg,18.0,111.0,153.0
2,../../aesthetics/mit/males/i4.jpg,19.0,128.0,150.0
2,../../aesthetics/mit/males/i4.jpg,20.0,145.0,151.0
2,../../aesthetics/mit/males/i4.jpg,21.0,161.0,157.0
2,../../aesthetics/mit/males/i4.jpg,22.0,195.0,157.0
2,../../aesthetics/mit/males/i4.jpg,23.0,211.0,150.0
2,../../aesthetics/mit/males/i4.jpg,24.0,228.0,148.0
2,../../aesthetics/mit/males/i4.jpg,25.0,245.0,151.0
2,../../aesthetics/mit/males/i4.jpg,26.0,259.0,161.0
2,../../aesthetics/mit/males/i4.jpg,27.0,178.0,178.0
2,../../aesthetics/mit/males/i4.jpg,28.0,178.0,197.0
2,../../aesthetics/mit/males/i4.jpg,29.0,178.0,216.0
2,../../aesthetics/mit/males/i4.jpg,30.0,177.0,235.0
2,../../aesthetics/mit/males/i4.jpg,31.0,159.0,248.0
2,../../aesthetics/mit/males/i4.jpg,32.0,168.0,252.0
2,../../aesthetics/mit/males/i4.jpg,33.0,177.0,255.0
2,../../aesthetics/mit/males/i4.jpg,34.0,187.0,252.0
2,../../aesthetics/mit/males/i4.jpg,35.0,196.0,249.0
2,../../aesthetics/mit/males/i4.jpg,36.0,117.0,178.0
2,../../aesthetics/mit/males/i4.jpg,37.0,129.0,171.0
2,../../aesthetics/mit/males/i4.jpg,38.0,143.0,172.0
2,../../aesthetics/mit/males/i4.jpg,39.0,153.0,183.0
2,../../aesthetics/mit/males/i4.jpg,40.0,141.0,185.0
2,../../aesthetics/mit/males/i4.jpg,41.0,127.0,184.0
2,../../aesthetics/mit/males/i4.jpg,42.0,204.0,183.0
2,../../aesthetics/mit/males/i4.jpg,43.0,215.0,172.0
2,../../aesthetics/mit/males/i4.jpg,44.0,228.0,171.0
2,../../aesthetics/mit/males/i4.jpg,45.0,239.0,178.0
2,../../aesthetics/mit/males/i4.jpg,46.0,230.0,184.0
2,../../aesthetics/mit/males/i4.jpg,47.0,217.0,185.0
2,../../aesthetics/mit/males/i4.jpg,48.0,142.0,285.0
2,../../aesthetics/mit/males/i4.jpg,49.0,154.0,277.0
2,../../aesthetics/mit/males/i4.jpg,50.0,167.0,273.0
2,../../aesthetics/mit/males/i4.jpg,51.0,177.0,276.0
2,../../aesthetics/mit/males/i4.jpg,52.0,188.0,273.0
2,../../aesthetics/mit/males/i4.jpg,53.0,202.0,277.0
2,../../aesthetics/mit/males/i4.jpg,54.0,215.0,284.0
2,../../aesthetics/mit/males/i4.jpg,55.0,202.0,295.0
2,../../aesthetics/mit/males/i4.jpg,56.0,189.0,300.0
2,../../aesthetics/mit/males/i4.jpg,57.0,177.0,301.0
2,../../aesthetics/mit/males/i4.jpg,58.0,166.0,300.0
2,../../aesthetics/mit/males/i4.jpg,59.0,154.0,295.0
2,../../aesthetics/mit/males/i4.jpg,60.0,148.0,285.0
2,../../aesthetics/mit/males/i4.jpg,61.0,167.0,283.0
2,../../aesthetics/mit/males/i4.jpg,62.0,177.0,284.0
2,../../aesthetics/mit/males/i4.jpg,63.0,188.0,283.0
2,../../aesthetics/mit/males/i4.jpg,64.0,209.0,285.0
2,../../aesthetics/mit/males/i4.jpg,65.0,189.0,286.0
2,../../aesthetics/mit/males/i4.jpg,66.0,178.0,287.0
2,../../aesthetics/mit/males/i4.jpg,67.0,167.0,286.0
2,../../aesthetics/mit/males/i4.jpg,68.0,178.0,71.0
3,../../aesthetics/mit/females/i5.jpg,0.0,67.0,179.0
3,../../aesthetics/mit/females/i5.jpg,1.0,69.0,208.0
3,../../aesthetics/mit/females/i5.jpg,2.0,73.0,237.0
3,../../aesthetics/mit/females/i5.jpg,3.0,77.0,266.0
3,../../aesthetics/mit/females/i5.jpg,4.0,86.0,291.0
3,../../aesthetics/mit/females/i5.jpg,5.0,102.0,313.0
3,../../aesthetics/mit/females/i5.jpg,6.0,123.0,331.0
3,../../aesthetics/mit/females/i5.jpg,7.0,146.0,346.0
3,../../aesthetics/mit/females/i5.jpg,8.0,172.0,352.0
3,../../aesthetics/mit/females/i5.jpg,9.0,199.0,347.0
3,../../aesthetics/mit/females/i5.jpg,10.0,222.0,333.0
3,../../aesthetics/mit/females/i5.jpg,11.0,244.0,315.0
3,../../aesthetics/mit/females/i5.jpg,12.0,260.0,295.0
3,../../aesthetics/mit/females/i5.jpg,13.0,269.0,270.0
3,../../aesthetics/mit/females/i5.jpg,14.0,274.0,242.0
3,../../aesthetics/mit/females/i5.jpg,15.0,281.0,215.0
3,../../aesthetics/mit/females/i5.jpg,16.0,285.0,187.0
3,../../aesthetics/mit/females/i5.jpg,17.0,87.0,158.0
3,../../aesthetics/mit/females/i5.jpg,18.0,101.0,147.0
3,../../aesthetics/mit/females/i5.jpg,19.0,119.0,144.0
3,../../aesthetics/mit/females/i5.jpg,20.0,137.0,147.0
3,../../aesthetics/mit/females/i5.jpg,21.0,154.0,155.0
3,../../aesthetics/mit/females/i5.jpg,22.0,205.0,157.0
3,../../aesthetics/mit/females/i5.jpg,23.0,222.0,150.0
3,../../aesthetics/mit/females/i5.jpg,24.0,240.0,147.0
3,../../aesthetics/mit/females/i5.jpg,25.0,257.0,151.0
3,../../aesthetics/mit/females/i5.jpg,26.0,269.0,163.0
3,../../aesthetics/mit/females/i5.jpg,27.0,178.0,181.0
3,../../aesthetics/mit/females/i5.jpg,28.0,178.0,200.0
3,../../aesthetics/mit/females/i5.jpg,29.0,178.0,218.0
3,../../aesthetics/mit/females/i5.jpg,30.0,178.0,237.0
3,../../aesthetics/mit/females/i5.jpg,31.0,157.0,250.0
3,../../aesthetics/mit/females/i5.jpg,32.0,167.0,253.0
3,../../aesthetics/mit/females/i5.jpg,33.0,177.0,257.0
3,../../aesthetics/mit/females/i5.jpg,34.0,187.0,254.0
3,../../aesthetics/mit/females/i5.jpg,35.0,197.0,251.0
3,../../aesthetics/mit/females/i5.jpg,36.0,110.0,181.0
3,../../aesthetics/mit/females/i5.jpg,37.0,123.0,173.0
3,../../aesthetics/mit/females/i5.jpg,38.0,138.0,174.0
3,../../aesthetics/mit/females/i5.jpg,39.0,151.0,186.0
3,../../aesthetics/mit/females/i5.jpg,40.0,137.0,188.0
3,../../aesthetics/mit/females/i5.jpg,41.0,121.0,188.0
3,../../aesthetics/mit/females/i5.jpg,42.0,204.0,188.0
3,../../aesthetics/mit/females/i5.jpg,43.0,218.0,177.0
3,../../aesthetics/mit/females/i5.jpg,44.0,233.0,178.0
3,../../aesthetics/mit/females/i5.jpg,45.0,245.0,187.0
3,../../aesthetics/mit/females/i5.jpg,46.0,233.0,192.0
3,../../aesthetics/mit/females/i5.jpg,47.0,218.0,192.0
3,../../aesthetics/mit/females/i5.jpg,48.0,135.0,282.0
3,../../aesthetics/mit/females/i5.jpg,49.0,150.0,275.0
3,../../aesthetics/mit/females/i5.jpg,50.0,167.0,271.0
3,../../aesthetics/mit/females/i5.jpg,51.0,177.0,274.0
3,../../aesthetics/mit/females/i5.jpg,52.0,186.0,271.0
3,../../aesthetics/mit/females/i5.jpg,53.0,201.0,276.0
3,../../aesthetics/mit/females/i5.jpg,54.0,215.0,281.0
3,../../aesthetics/mit/females/i5.jpg,55.0,201.0,297.0
3,../../aesthetics/mit/females/i5.jpg,56.0,187.0,304.0
3,../../aesthetics/mit/females/i5.jpg,57.0,176.0,305.0
3,../../aesthetics/mit/females/i5.jpg,58.0,165.0,304.0
3,../../aesthetics/mit/females/i5.jpg,59.0,149.0,297.0
3,../../aesthetics/mit/females/i5.jpg,60.0,141.0,283.0
3,../../aesthetics/mit/females/i5.jpg,61.0,166.0,284.0
3,../../aesthetics/mit/females/i5.jpg,62.0,176.0,285.0
3,../../aesthetics/mit/females/i5.jpg,63.0,186.0,284.0
3,../../aesthetics/mit/females/i5.jpg,64.0,208.0,283.0
3,../../aesthetics/mit/females/i5.jpg,65.0,186.0,285.0
3,../../aesthetics/mit/females/i5.jpg,66.0,176.0,287.0
3,../../aesthetics/mit/females/i5.jpg,67.0,166.0,286.0
3,../../aesthetics/mit/females/i5.jpg,68.0,179.0,60.0
4,../../aesthetics/mit/females/i6.jpg,0.0,75.0,181.0
4,../../aesthetics/mit/females/i6.jpg,1.0,77.0,210.0
4,../../aesthetics/mit/females/i6.jpg,2.0,83.0,237.0
4,../../aesthetics/mit/females/i6.jpg,3.0,89.0,263.0
4,../../aesthetics/mit/females/i6.jpg,4.0,97.0,289.0
4,../../aesthetics/mit/females/i6.jpg,5.0,111.0,312.0
4,../../aesthetics/mit/females/i6.jpg,6.0,130.0,330.0
4,../../aesthetics/mit/females/i6.jpg,7.0,154.0,344.0
4,../../aesthetics/mit/females/i6.jpg,8.0,178.0,348.0
4,../../aesthetics/mit/females/i6.jpg,9.0,203.0,343.0
4,../../aesthetics/mit/females/i6.jpg,10.0,226.0,329.0
4,../../aesthetics/mit/females/i6.jpg,11.0,247.0,312.0
4,../../aesthetics/mit/females/i6.jpg,12.0,260.0,290.0
4,../../aesthetics/mit/females/i6.jpg,13.0,268.0,265.0
4,../../aesthetics/mit/females/i6.jpg,14.0,271.0,239.0
4,../../aesthetics/mit/females/i6.jpg,15.0,276.0,213.0
4,../../aesthetics/mit/females/i6.jpg,16.0,278.0,186.0
4,../../aesthetics/mit/females/i6.jpg,17.0,89.0,156.0
4,../../aesthetics/mit/females/i6.jpg,18.0,102.0,144.0
4,../../aesthetics/mit/females/i6.jpg,19.0,120.0,141.0
4,../../aesthetics/mit/females/i6.jpg,20.0,139.0,145.0
4,../../aesthetics/mit/females/i6.jpg,21.0,156.0,152.0
4,../../aesthetics/mit/females/i6.jpg,22.0,195.0,151.0
4,../../aesthetics/mit/females/i6.jpg,23.0,214.0,144.0
4,../../aesthetics/mit/females/i6.jpg,24.0,233.0,142.0
4,../../aesthetics/mit/females/i6.jpg,25.0,253.0,147.0
4,../../aesthetics/mit/females/i6.jpg,26.0,265.0,160.0
4,../../aesthetics/mit/females/i6.jpg,27.0,177.0,178.0
4,../../aesthetics/mit/females/i6.jpg,28.0,177.0,196.0
4,../../aesthetics/mit/females/i6.jpg,29.0,176.0,215.0
4,../../aesthetics/mit/females/i6.jpg,30.0,176.0,234.0
4,../../aesthetics/mit/females/i6.jpg,31.0,159.0,248.0
4,../../aesthetics/mit/females/i6.jpg,32.0,167.0,251.0
4,../../aesthetics/mit/females/i6.jpg,33.0,176.0,253.0
4,../../aesthetics/mit/females/i6.jpg,34.0,185.0,252.0
4,../../aesthetics/mit/females/i6.jpg,35.0,194.0,249.0
4,../../aesthetics/mit/females/i6.jpg,36.0,110.0,179.0
4,../../aesthetics/mit/females/i6.jpg,37.0,122.0,171.0
4,../../aesthetics/mit/females/i6.jpg,38.0,137.0,172.0
4,../../aesthetics/mit/females/i6.jpg,39.0,150.0,183.0
4,../../aesthetics/mit/females/i6.jpg,40.0,136.0,187.0
4,../../aesthetics/mit/females/i6.jpg,41.0,121.0,187.0
4,../../aesthetics/mit/females/i6.jpg,42.0,205.0,185.0
4,../../aesthetics/mit/females/i6.jpg,43.0,218.0,174.0
4,../../aesthetics/mit/females/i6.jpg,44.0,233.0,174.0
4,../../aesthetics/mit/females/i6.jpg,45.0,245.0,182.0
4,../../aesthetics/mit/females/i6.jpg,46.0,234.0,189.0
4,../../aesthetics/mit/females/i6.jpg,47.0,219.0,189.0
4,../../aesthetics/mit/females/i6.jpg,48.0,142.0,286.0
4,../../aesthetics/mit/females/i6.jpg,49.0,155.0,278.0
4,../../aesthetics/mit/females/i6.jpg,50.0,168.0,274.0
4,../../aesthetics/mit/females/i6.jpg,51.0,176.0,277.0
4,../../aesthetics/mit/females/i6.jpg,52.0,185.0,274.0
4,../../aesthetics/mit/females/i6.jpg,53.0,199.0,279.0
4,../../aesthetics/mit/females/i6.jpg,54.0,212.0,288.0
4,../../aesthetics/mit/females/i6.jpg,55.0,199.0,297.0
4,../../aesthetics/mit/females/i6.jpg,56.0,187.0,301.0
4,../../aesthetics/mit/females/i6.jpg,57.0,177.0,302.0
4,../../aesthetics/mit/females/i6.jpg,58.0,168.0,301.0
4,../../aesthetics/mit/females/i6.jpg,59.0,155.0,297.0
4,../../aesthetics/mit/females/i6.jpg,60.0,148.0,286.0
4,../../aesthetics/mit/females/i6.jpg,61.0,168.0,285.0
4,../../aesthetics/mit/females/i6.jpg,62.0,177.0,286.0
4,../../aesthetics/mit/females/i6.jpg,63.0,186.0,285.0
4,../../aesthetics/mit/females/i6.jpg,64.0,205.0,288.0
4,../../aesthetics/mit/females/i6.jpg,65.0,186.0,286.0
4,../../aesthetics/mit/females/i6.jpg,66.0,177.0,287.0
4,../../aesthetics/mit/females/i6.jpg,67.0,168.0,286.0
4,../../aesthetics/mit/females/i6.jpg,68.0,175.0,74.0
5,../../aesthetics/mit/males/i7.jpg,0.0,78.0,186.0
5,../../aesthetics/mit/males/i7.jpg,1.0,82.0,213.0
5,../../aesthetics/mit/males/i7.jpg,2.0,87.0,238.0
5,../../aesthetics/mit/males/i7.jpg,3.0,91.0,264.0
5,../../aesthetics/mit/males/i7.jpg,4.0,99.0,289.0
5,../../aesthetics/mit/males/i7.jpg,5.0,113.0,309.0
5,../../aesthetics/mit/males/i7.jpg,6.0,132.0,327.0
5,../../aesthetics/mit/males/i7.jpg,7.0,153.0,341.0
5,../../aesthetics/mit/males/i7.jpg,8.0,179.0,346.0
5,../../aesthetics/mit/males/i7.jpg,9.0,204.0,341.0
5,../../aesthetics/mit/males/i7.jpg,10.0,226.0,327.0
5,../../aesthetics/mit/males/i7.jpg,11.0,244.0,309.0
5,../../aesthetics/mit/males/i7.jpg,12.0,258.0,288.0
5,../../aesthetics/mit/males/i7.jpg,13.0,265.0,263.0
5,../../aesthetics/mit/males/i7.jpg,14.0,268.0,237.0
5,../../aesthetics/mit/males/i7.jpg,15.0,272.0,212.0
5,../../aesthetics/mit/males/i7.jpg,16.0,274.0,186.0
5,../../aesthetics/mit/males/i7.jpg,17.0,91.0,163.0
5,../../aesthetics/mit/males/i7.jpg,18.0,104.0,151.0
5,../../aesthetics/mit/males/i7.jpg,19.0,124.0,148.0
5,../../aesthetics/mit/males/i7.jpg,20.0,142.0,151.0
5,../../aesthetics/mit/males/i7.jpg,21.0,160.0,157.0
5,../../aesthetics/mit/males/i7.jpg,22.0,197.0,156.0
5,../../aesthetics/mit/males/i7.jpg,23.0,214.0,149.0
5,../../aesthetics/mit/males/i7.jpg,24.0,232.0,146.0
5,../../aesthetics/mit/males/i7.jpg,25.0,250.0,149.0
5,../../aesthetics/mit/males/i7.jpg,26.0,262.0,162.0
5,../../aesthetics/mit/males/i7.jpg,27.0,178.0,176.0
5,../../aesthetics/mit/males/i7.jpg,28.0,178.0,193.0
5,../../aesthetics/mit/males/i7.jpg,29.0,178.0,209.0
5,../../aesthetics/mit/males/i7.jpg,30.0,178.0,226.0
5,../../aesthetics/mit/males/i7.jpg,31.0,157.0,242.0
5,../../aesthetics/mit/males/i7.jpg,32.0,167.0,245.0
5,../../aesthetics/mit/males/i7.jpg,33.0,177.0,247.0
5,../../aesthetics/mit/males/i7.jpg,34.0,188.0,245.0
5,../../aesthetics/mit/males/i7.jpg,35.0,198.0,242.0
5,../../aesthetics/mit/males/i7.jpg,36.0,114.0,179.0
5,../../aesthetics/mit/males/i7.jpg,37.0,125.0,172.0
5,../../aesthetics/mit/males/i7.jpg,38.0,138.0,173.0
5,../../aesthetics/mit/males/i7.jpg,39.0,150.0,182.0
5,../../aesthetics/mit/males/i7.jpg,40.0,137.0,184.0
5,../../aesthetics/mit/males/i7.jpg,41.0,124.0,184.0
5,../../aesthetics/mit/males/i7.jpg,42.0,205.0,181.0
5,../../aesthetics/mit/males/i7.jpg,43.0,216.0,172.0
5,../../aesthetics/mit/males/i7.jpg,44.0,230.0,172.0
5,../../aesthetics/mit/males/i7.jpg,45.0,241.0,178.0
5,../../aesthetics/mit/males/i7.jpg,46.0,231.0,184.0
5,../../aesthetics/mit/males/i7.jpg,47.0,217.0,184.0
5,../../aesthetics/mit/males/i7.jpg,48.0,139.0,281.0
5,../../aesthetics/mit/males/i7.jpg,49.0,153.0,273.0
5,../../aesthetics/mit/males/i7.jpg,50.0,167.0,268.0
5,../../aesthetics/mit/males/i7.jpg,51.0,178.0,271.0
5,../../aesthetics/mit/males/i7.jpg,52.0,188.0,268.0
5,../../aesthetics/mit/males/i7.jpg,53.0,203.0,272.0
5,../../aesthetics/mit/males/i7.jpg,54.0,217.0,279.0
5,../../aesthetics/mit/males/i7.jpg,55.0,204.0,291.0
5,../../aesthetics/mit/males/i7.jpg,56.0,190.0,295.0
5,../../aesthetics/mit/males/i7.jpg,57.0,179.0,297.0
5,../../aesthetics/mit/males/i7.jpg,58.0,168.0,296.0
5,../../aesthetics/mit/males/i7.jpg,59.0,153.0,292.0
5,../../aesthetics/mit/males/i7.jpg,60.0,146.0,282.0
5,../../aesthetics/mit/males/i7.jpg,61.0,167.0,280.0
5,../../aesthetics/mit/males/i7.jpg,62.0,178.0,280.0
5,../../aesthetics/mit/males/i7.jpg,63.0,189.0,279.0
5,../../aesthetics/mit/males/i7.jpg,64.0,211.0,280.0
5,../../aesthetics/mit/males/i7.jpg,65.0,189.0,281.0
