dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness,imgName,FA,CA,AV
eDataset,10.0,32.2490309932,51.9711458407,16.7765876302,235.805004188,5.8918198279,25.1796389508,157.876534038,130.361037124,103.730419839,62.4519815538,103.330174683,61.4511193173,37.2155881319,122.134931592,80.7975865976,1.86967105591,0.669521559062,1.21107147904,0.620517990733,0.0711460203654,0.233991434088,0.0249859830083,0.439899145467,0.260601421624,0.15782357232,0.342645767319,0.517948853601,0.116687502072,0.552834056991,../../../MIT2kFaceDataset/2kfaces/Adrienne_Blaney_15_oval.jpg,722.166133521,147.718427215,36.3541892236
eDataset,11.0,32.0624390838,53.0848377599,14.0553851381,239.676865801,7.31872039354,28.147344064,161.251356583,133.375410027,111.758668568,68.1175454637,113.334957096,64.9631745493,39.0128184063,115.977313676,87.6313300139,1.74960840981,0.67278648711,1.2090036428,0.603984874716,0.05864306132,0.260014599491,0.0305357814535,0.466288926945,0.271044826677,0.162772565787,0.365622813538,0.483890313269,0.116306371342,0.556480115767,../../../MIT2kFaceDataset/2kfaces/Adrienne_Blaney_1_oval.jpg,662.704295428,109.96967619,21.929098762
eDataset,12.0,30.0665927567,53.1507290637,16.0553851381,243.392686825,9.50657439761,28.5801278403,154.466824917,126.019839708,119.854077945,70.5283630889,120.915776473,68.478276675,40.0,108.768533826,97.2432516939,1.70681574494,0.634640370391,1.22573418023,0.565685424949,0.0659649447465,0.33262882695,0.0390585868524,0.492430892268,0.281348949174,0.164343475236,0.399532348167,0.446884971132,0.116876910232,0.517763460158,../../../MIT2kFaceDataset/2kfaces/Adrienne_Coen_13_oval.jpg,656.900074549,104.072899914,36.3250182153
eDataset,13.0,34.0587727319,59.2114853723,14.1729812467,246.130046926,7.0714230971,26.1913512484,162.00308639,139.703256941,107.228727494,71.2969143792,109.94231442,73.0617987567,44.283179651,121.996965901,85.529234768,1.64368522205,0.658201176221,1.15962283155,0.575205511527,0.0575833037198,0.269990770237,0.0287304341156,0.43565882684,0.296842257453,0.179917812571,0.347496113685,0.495660596602,0.0906018169157,0.567599359306,../../../MIT2kFaceDataset/2kfaces/Agnes_Castellanos_11_oval.jpg,712.298182771,112.520917302,19.554235052
eDataset,14.0,35.0570962859,51.2445119013,13.0,249.032126442,6.04138126515,24.6694010506,162.443836448,140.032139168,114.271606272,66.2721661031,113.164979123,65.8773342061,46.0977222865,124.919171387,94.8591060468,1.85058854943,0.652300724285,1.16004681078,0.684114161404,0.0522021001296,0.244893714799,0.0242594453634,0.458862910199,0.264533476654,0.185107531888,0.38091111939,0.501618699449,0.0899952050376,0.562305519248,../../../MIT2kFaceDataset/2kfaces/Alan_Abbey_19_oval.jpg,699.948959956,128.469000054,33.5279923507
eDataset,15.0,31.064449134,59.076221951,20.5,240.750908617,9.53281769125,31.0826240253,159.314155052,135.624481566,106.212052047,75.541379389,107.042339754,73.7043636566,42.0,114.902913072,83.1654976538,1.66309029826,0.661738541164,1.17467107128,0.525836759835,0.0851502497654,0.306692822443,0.0395961857257,0.441169890726,0.306143657276,0.174454170251,0.345442092541,0.477268865699,0.098399103133,0.563339438031,../../../MIT2kFaceDataset/2kfaces/Alan_Gamerson_7_oval.jpg,719.186931454,114.504640466,15.8303031268
eDataset,16.0,26.0768096208,51.2445119013,14.8091015968,245.489307303,7.57862236093,22.2520804835,137.931142241,113.004424692,134.736780428,55.9396996774,126.639498183,73.2271984076,38.6264158317,108.420881763,112.477775583,1.53065612131,0.561862118382,1.22058178356,0.508870289779,0.0603248335314,0.340580395012,0.0308714967841,0.548849894555,0.298290785909,0.157344595804,0.458177901182,0.441652155666,0.10153891354,0.460323204842,../../../MIT2kFaceDataset/2kfaces/Alan_Infante_11_oval.jpg,796.420095365,169.647529496,106.308839965
eDataset,17.0,30.0665927567,56.1426753905,14.0622577483,243.13165158,8.27931069216,27.8382424121,162.603812993,144.280975877,114.004385881,72.3895710721,117.771494853,74.6438553394,41.0121933088,118.100010905,93.5,1.68176599279,0.668789159851,1.12699413076,0.535539009276,0.057838038186,0.297407809358,0.0340527884311,0.468899812672,0.307010028741,0.168683069614,0.384565314275,0.485745110262,0.0753617926643,0.593427367187,../../../MIT2kFaceDataset/2kfaces/Alan_Rainwater_15_oval.jpg,706.467159374,98.6973671343,34.4954853613
eDataset,18.0,32.2490309932,57.3149195236,15.7889300491,251.199124202,7.78945296874,27.1843304346,154.828937864,132.242202039,110.290525432,68.4689710745,113.349569915,67.3884939799,44.4072066223,119.352027635,90.9464127935,1.72125147132,0.616359385628,1.1707982435,0.562663810073,0.0628542400348,0.286542020502,0.0310090769364,0.439056170207,0.268267232993,0.176780897479,0.362049083898,0.475129155065,0.0899156631095,0.526443722519,../../../MIT2kFaceDataset/2kfaces/Alberta_Akins_7_oval.jpg,696.08090569,118.329497109,29.7159554187
eDataset,19.0,33.0,60.0083327547,11.0827625303,248.002016121,8.26515147695,30.0166620396,163.0,137.032842779,105.0428484,76.0,107.010513502,70.3236594776,46.0977222865,120.563332534,80.0140612643,1.64627569086,0.657252721367,1.18949586606,0.549923627022,0.0446881952964,0.275352118302,0.0333269527653,0.423556429271,0.283560837841,0.18587640136,0.322634720942,0.486138517824,0.104705427914,0.552547293454,../../../MIT2kFaceDataset/2kfaces/Alberta_Herbst_3_oval.jpg,661.521649636,110.41451715,33.5020278103
eDataset,20.0,33.2415402772,57.3149195236,15.2919677815,247.163913224,11.2008771255,30.7874387246,165.773942464,136.033084211,116.661904665,72.7615970138,112.9629364,70.4974795494,38.4707681233,119.236129253,93.0053761887,1.77595684764,0.670704474216,1.21862959607,0.579980580161,0.0618697429655,0.363813216996,0.0453176071677,0.472002175169,0.285225616596,0.155648806582,0.376290272215,0.482417225466,0.120328481067,0.55037599315,../../../MIT2kFaceDataset/2kfaces/Albert_Belk_12_oval.jpg,691.299874748,110.729390726,26.3718780341
eDataset,21.0,30.0665927567,59.1354377679,20.5,246.245812147,10.618145359,32.5110187207,171.187032219,137.17871555,121.066097649,79.6272566399,117.336322168,78.6721077846,33.0151480384,128.749539923,99.0201999594,1.79709681875,0.695187588071,1.24791248797,0.50843612378,0.0832501467588,0.32660143474,0.0431201053389,0.49164733643,0.319486074093,0.134073947291,0.402119325791,0.522849663108,0.138107187986,0.557080400085,../../../MIT2kFaceDataset/2kfaces/Albert_Carbaugh_3_oval.jpg,717.151705037,114.6842749,33.1386015645
eDataset,22.0,32.14031736,53.2353266168,12.1238105611,248.340492067,9.80593710404,26.8178210633,160.377679245,130.245921241,136.565002837,62.9483915601,134.72773471,68.6472264411,37.2155881319,111.396717906,114.242067558,1.7614085944,0.645797541554,1.23134511789,0.603740399515,0.0488193063491,0.365650031034,0.0394858567865,0.549910333594,0.276423815825,0.149857108771,0.460021910271,0.448564456723,0.121332440606,0.524465100948,../../../MIT2kFaceDataset/2kfaces/Albert_Cardoza_5_oval.jpg,725.621765605,122.638554532,25.0369917076
eDataset,23.0,37.0135110466,58.0344725142,13.0615528128,248.018144498,7.56970514902,28.6462068944,155.206314305,129.003875911,109.0,72.2097638827,108.000289351,76.9777141704,39.0128184063,121.927029939,86.5014450746,1.59133659802,0.625786127942,1.20311357476,0.637784913744,0.0526636986148,0.264248079228,0.0305207716329,0.439483974936,0.310371300964,0.15729824318,0.348770632285,0.491605282291,0.105647264021,0.520138863921,../../../MIT2kFaceDataset/2kfaces/Albert_Carlyle_5_oval.jpg,744.758842225,120.256969105,55.4325658265
eDataset,24.0,34.0,59.0,15.0,246.099573344,10.0311839092,32.5153846128,167.047897323,135.059246259,100.244700608,76.5,105.118980208,76.9164487532,40.0,117.990675679,72.7083213945,1.56836930388,0.678781742907,1.236849027,0.576271186441,0.0609509386635,0.308505774378,0.0407606716781,0.40733390654,0.312541983345,0.162535836436,0.295442695843,0.47944282908,0.129982553929,0.548799188978,../../../MIT2kFaceDataset/2kfaces/Albert_Dobson_9_oval.jpg,706.701834489,134.758180206,48.865028106
eDataset,25.0,36.0555127546,51.0881590978,12.0811388301,248.002016121,5.79138126515,27.5801278403,156.259399717,131.186889589,128.140547837,72.1404879385,128.837591564,61.7312548955,38.0525951809,112.616363321,109.224539367,1.92546349143,0.630073102475,1.19112054724,0.705750870483,0.0487138734558,0.209983844117,0.0233521539693,0.516691556954,0.248914326831,0.153436636428,0.440417949321,0.454094547627,0.101098009285,0.52897509319,../../../MIT2kFaceDataset/2kfaces/Albert_Neu_11_oval.jpg,732.007915481,103.40125642,31.3371366446
eDataset,26.0,37.0540146273,59.0338885726,23.0356688476,246.0,8.75,33.0151480384,169.073948318,143.055933117,81.0061726043,80.0390529679,87.0229854694,76.2592953578,51.0392006207,133.359654993,55.5360243446,1.61726621645,0.687292472839,1.18187302431,0.627673621427,0.0936409302749,0.265029858107,0.0355691056911,0.32929338457,0.309997135601,0.207476425287,0.225756196523,0.542112418672,0.105764289437,0.581528183403,../../../MIT2kFaceDataset/2kfaces/Albert_Neu_7_oval.jpg,748.865811233,111.595208438,27.0136582789
eDataset,27.0,35.0142828,58.0,14.5498756211,248.072570027,6.59501721863,27.074073658,161.07762104,123.146254511,128.132743668,67.0018656457,124.603621536,73.2263040201,34.3656805549,117.749680837,106.066017178,1.71271968094,0.649316532749,1.30801884053,0.603694531035,0.05865169059,0.243591610998,0.0265850320247,0.516513146352,0.295180978744,0.138530755541,0.42756043994,0.474658205153,0.152904315562,0.496412217187,../../../MIT2kFaceDataset/2kfaces/Albert_Rohr_5_oval.jpg,635.574045874,107.358120291,30.0357728848
eDataset,28.0,38.0131556175,54.083269132,15.5495097568,245.735630302,6.78553390593,25.1029984537,151.162164578,131.244047484,116.965806969,66.0681466366,115.456160511,66.2353282361,41.0121933088,117.113936223,97.5666438902,1.77320134447,0.615141420039,1.1517639655,0.702863496006,0.0632773917957,0.270307705211,0.0276131462808,0.47598228562,0.269538968177,0.166895591243,0.397039060922,0.47658508487,0.0810550634019,0.534086356637,../../../MIT2kFaceDataset/2kfaces/Albert_Waring_1_oval.jpg,791.261447984,119.653281419,85.1912402564
eDataset,29.0,32.0,55.0090901579,16.5413812651,243.13165158,9.8011811042,31.6425701824,165.075740192,137.17871555,117.720006796,74.0152011414,116.679314791,62.3086542837,38.0131556175,116.888122565,95.7548954362,1.98756645467,0.67895619151,1.20336263195,0.58172203736,0.0680346682863,0.309746681376,0.0403122384128,0.484182154116,0.256275371301,0.156348033547,0.393839694725,0.480760615928,0.114740406939,0.564215784571,../../../MIT2kFaceDataset/2kfaces/Alice_Mckellar_11_oval.jpg,674.246466862,120.205771536,33.0736841696
eDataset,30.0,32.0156211872,59.1354377679,11.6821303815,240.033331019,6.53823660949,23.6655250606,148.27339613,122.102416029,115.433963806,62.6278691958,114.434752152,74.0874969213,38.6393581727,115.365825327,98.412397593,1.62780616866,0.617720028718,1.21433630024,0.541394845386,0.0486687841721,0.276276845443,0.0272388696259,0.480908061044,0.30865503806,0.160974969637,0.409994716881,0.480624190139,0.109030608335,0.508689420383,../../../MIT2kFaceDataset/2kfaces/Alison_Stallings_12_oval.jpg,717.20240284,112.709986254,55.3776837002
eDataset,31.0,31.0,63.0317380373,21.0311288741,247.655001968,12.0674906006,31.6567400636,167.242339137,138.0,116.726175299,76.5408387725,116.076752625,74.7276638689,37.0135110466,122.265867136,92.3715324112,1.68063656326,0.675303699936,1.21190100824,0.491815725939,0.0849210745068,0.381198145367,0.0487270214803,0.47132573286,0.301740983525,0.149455939724,0.372984723414,0.493694317354,0.1180769171,0.557226782835,../../../MIT2kFaceDataset/2kfaces/Alison_Trejo_7_oval.jpg,717.658965058,115.44921061,34.8120254008
eDataset,32.0,33.0,62.0080639917,19.5453610172,248.290152845,9.28426696668,29.0688837075,167.011975619,139.129436138,97.5141015443,78.0016025476,101.107925011,75.469202336,41.0121933088,125.217227729,71.137191398,1.59818242993,0.672648406328,1.20040719099,0.532188845703,0.078719839644,0.319388493212,0.0373928118384,0.392742524932,0.303955680365,0.165178493141,0.286508307248,0.504318138653,0.112298209016,0.560350197313,../../../MIT2kFaceDataset/2kfaces/Allen_Council_15_oval.jpg,753.890248923,113.448207716,57.4251244146
eDataset,33.0,45.0444225182,59.3043000127,24.5900409851,250.287834303,10.4850202275,33.7100208917,162.00308639,127.393092434,118.152443902,83.2165848855,117.106788872,65.3662433724,27.2029410175,125.0660314,87.4142436906,1.67932955377,0.647267122837,1.27167873308,0.759547326392,0.0982470484576,0.311035708379,0.0418918492652,0.472066268147,0.26116428533,0.108686629109,0.349254864641,0.499688815274,0.13828076803,0.508986354807,../../../MIT2kFaceDataset/2kfaces/Allen_Eagan_9_oval.jpg,691.411184056,129.030454728,81.6429370808
eDataset,34.0,27.1661554144,47.3814309619,9.68910180062,235.915239016,6.89965614724,22.2257009047,144.585614775,123.17873193,117.277448813,59.474784573,118.054277771,60.4554985933,42.1900462195,109.69485016,94.8591060468,1.73981847495,0.612871026808,1.1737871669,0.573350252681,0.0410702667663,0.310435930765,0.0292463351499,0.497116885292,0.256259404206,0.178835612296,0.402089777848,0.464975686255,0.0907397204787,0.522131306329,../../../MIT2kFaceDataset/2kfaces/Allen_Hollingshead_7_oval.jpg,627.423315049,108.841765255,85.6435951762
eDataset,35.0,33.0605505096,56.1426753905,12.0,247.163913224,6.33541601603,25.0499322072,153.469866749,128.390030766,107.0,65.5934447944,108.007233554,67.8404429778,44.1814440687,119.147322825,88.5353036929,1.75048663909,0.620923438003,1.19534099208,0.588866673697,0.048550776865,0.252911503458,0.0256324474451,0.432911093713,0.274475517453,0.17875361938,0.358204814523,0.482057923711,0.101470460054,0.519452977949,../../../MIT2kFaceDataset/2kfaces/Allen_Strain_13_oval.jpg,675.886108671,105.492347516,39.7707181106
eDataset,36.0,37.0,62.0080639917,13.5,248.050398105,8.10083402317,28.7174090086,151.029798384,126.063476075,116.155068766,71.0070419043,114.053715415,66.5018796727,37.0,115.431797537,91.1111957994,1.64160399957,0.608867389604,1.19804564405,0.596696584576,0.0544244238394,0.282087914712,0.032658016617,0.468272051379,0.26809825818,0.149163235708,0.367309210126,0.465356227683,0.100650200526,0.508217189078,../../../MIT2kFaceDataset/2kfaces/Allison_Baldridge_1_oval.jpg,669.256451402,110.740847428,40.7071012487
eDataset,37.0,29.0172362571,54.0370243444,13.0,247.018217952,7.28553390593,25.5862523283,152.118374958,126.063476075,119.507321951,62.0503827547,120.355982402,64.0902315954,40.1123422403,117.295559301,102.04165816,1.82017865214,0.615818445376,1.20668079047,0.536988048641,0.0526276972921,0.284744081019,0.0294939133087,0.483799627989,0.259455485214,0.162386169623,0.413093653602,0.474845783739,0.10547764088,0.510340804496,../../../MIT2kFaceDataset/2kfaces/Allison_Baldridge_7_oval.jpg,646.945271465,105.291514504,37.632967575
eDataset,38.0,33.2415402772,60.207972894,12.6733203179,244.073759343,8.13091051109,27.9008987705,167.451485511,143.422452914,112.805141727,71.3529957325,111.939995087,67.3040388192,40.1995024845,120.810992335,87.3613186714,1.75479012457,0.68606918647,1.16754024289,0.552111932679,0.0519241410957,0.29142109643,0.0333133333668,0.462176442196,0.275752866676,0.164702271119,0.357929991763,0.494977389869,0.0984498811411,0.587619305329,../../../MIT2kFaceDataset/2kfaces/Allison_Hargrave_13_oval.jpg,701.419513708,121.721965731,37.7333627597
eDataset,39.0,30.0166620396,66.2721661031,19.5727234529,247.050602104,13.6369355712,32.4956274015,169.357609808,133.0,119.050409491,77.5403120964,114.464241141,87.4815939415,32.7566787083,124.202546762,91.8000544662,1.54787171955,0.685517899434,1.27336548728,0.452930148577,0.0792255646667,0.419654478516,0.0551989570359,0.481886740923,0.354103949541,0.132590968932,0.371584014305,0.502741323858,0.14716665128,0.538351248154,../../../MIT2kFaceDataset/2kfaces/Allison_Samson_13_oval.jpg,820.016708696,130.56318618,46.6774370113
eDataset,40.0,36.1247837364,58.4208866759,13.8306070269,246.39805194,7.14005494464,28.6556750838,156.041661104,133.090194981,119.151164493,70.846665412,119.521180131,65.4260668539,37.0135110466,114.416686348,100.011249367,1.80106361397,0.633290969124,1.17245046584,0.618353910593,0.0561311541142,0.249167221633,0.0289777248173,0.483571860875,0.265529968028,0.150218359095,0.405893019769,0.4643571061,0.0931479203762,0.540143048748,../../../MIT2kFaceDataset/2kfaces/Allison_Stubbs_15_oval.jpg,665.357513425,114.056803528,25.4291916789
eDataset,41.0,36.0555127546,54.083269132,15.5355339059,240.468293128,6.82377051542,30.5344418537,160.078105936,136.235090927,106.677082825,74.5603782179,109.810347873,64.5610176427,39.0,112.520089223,87.9118877058,1.9360431297,0.665693193283,1.17501375634,0.666666666667,0.0646053319705,0.223477820492,0.0283770073246,0.44362223991,0.268480375532,0.162183544003,0.365586192517,0.467920688251,0.0991524275331,0.56654076575,../../../MIT2kFaceDataset/2kfaces/Allison_Zambrano_9_oval.jpg,694.136153043,114.029038675,30.6009823437
eDataset,42.0,43.0116263352,65.0,30.0,251.007968001,11.7556788864,35.5,190.010526024,170.073513517,85.2115015711,87.5057140991,91.4637906496,79.5423934227,44.1021541424,141.231910682,54.3897968373,1.6963704228,0.756990017239,1.1172258519,0.661717328234,0.119518118245,0.331145884124,0.0468338873065,0.339477277354,0.316891906086,0.175700215788,0.216685538991,0.562659073363,0.0794278072766,0.677562209962,../../../MIT2kFaceDataset/2kfaces/Alma_Gober_3_oval.jpg,812.512240989,117.009614496,154.250785755
eDataset,43.0,33.2415402772,50.4479930225,17.120943433,235.764713221,7.36264175342,28.16106576,167.092788594,140.185591271,85.9069263797,69.9035049193,86.8331733844,65.9658871091,43.2897216438,127.223313224,60.4069532422,1.88232494754,0.708726875668,1.19193982119,0.658926912362,0.0726187697858,0.261447553732,0.0312287689402,0.364375674401,0.279795420646,0.183614083094,0.25621710907,0.539619824722,0.114127330401,0.594599545267,../../../MIT2kFaceDataset/2kfaces/Alma_Melanson_1_oval.jpg,795.902935791,156.659288821,32.3340686099
eDataset,44.0,31.5753068077,63.6396103068,22.2894823847,246.586698749,7.48838098114,30.0402029691,171.417618698,141.693330824,103.237590053,77.5967138479,103.068241956,80.8284887193,40.7921561087,125.967902725,75.7314333682,1.63023995362,0.695161659438,1.20977901854,0.49615807915,0.0903920710153,0.249278641321,0.0303681464537,0.418666499762,0.327789329795,0.165427236407,0.307118890647,0.51084630016,0.120542949091,0.574618710347,../../../MIT2kFaceDataset/2kfaces/Amanda_Denning_9_oval.jpg,784.373061963,108.667658637,53.2329680625
eDataset,45.0,32.0,54.0370243444,14.0,241.250906734,7.88142972021,29.7120946,169.026625122,149.083869013,115.351636313,71.5017482304,115.932361746,69.6459046688,43.0464865001,121.207134953,90.7331251528,1.80650615941,0.700625864623,1.13376870509,0.592186568158,0.0580308699749,0.265259983395,0.0326690159507,0.478139700589,0.288686602723,0.178430361497,0.376094442011,0.502411106321,0.0826639633326,0.61796190129,../../../MIT2kFaceDataset/2kfaces/Amanda_Kraus_11_oval.jpg,686.609292058,111.591319692,37.7399438531
eDataset,46.0,30.0665927567,58.0,14.0,247.455046423,9.75,27.0092560861,158.113883008,129.189782878,109.178752512,68.0073525437,113.745329574,73.3485453722,38.0525951809,114.258829676,87.1320836432,1.59710992938,0.638960026454,1.22388844912,0.518389530289,0.0565759324871,0.360987358146,0.0394010958392,0.441206409366,0.2964115965,0.153775789708,0.352112777261,0.461735702414,0.11688628116,0.522073745294,../../../MIT2kFaceDataset/2kfaces/Ana_Bahr_11_oval.jpg,698.901287767,103.807513933,20.3227447671
eDataset,47.0,32.14031736,56.2227711875,10.8416627021,247.050602104,6.42187886277,25.1278469071,154.728794993,131.186889589,122.808794473,66.8169140263,121.975919755,65.8122322203,39.3192065027,115.956109432,104.039655901,1.8132937806,0.626304059473,1.17945318681,0.571660141988,0.0438843808101,0.255568210301,0.0259941842201,0.497099757812,0.266391709471,0.159154465392,0.421126906856,0.469361776268,0.0952918357765,0.531012223697,../../../MIT2kFaceDataset/2kfaces/Ana_Gulley_15_oval.jpg,664.900111929,113.175983088,24.8745675048
eDataset,48.0,37.0135110466,57.008771255,13.5495097568,245.985771946,10.618145359,30.830454892,169.106475334,136.619910701,109.731490467,67.5462804305,103.200351259,68.9332622245,47.5184174821,131.17609229,82.457564844,1.79877605106,0.687464457787,1.23778792173,0.649259933723,0.0550824937946,0.34440443374,0.043165689117,0.446088770087,0.2802327211,0.193175471516,0.33521274093,0.533266990413,0.132066844257,0.55539761353,../../../MIT2kFaceDataset/2kfaces/Ana_Starnes_1_oval.jpg,779.192429922,162.102825919,55.2673419966
eDataset,49.0,34.0147027034,59.0338885726,13.0,248.163252719,6.0096012026,27.0369863707,169.04733065,146.0,110.47624179,72.6102609829,108.90362712,70.7564839848,40.1123422403,126.866923818,90.426765949,1.85665431875,0.681194047863,1.15785842911,0.576189431627,0.0523848710781,0.222273337724,0.0242163218638,0.44517566795,0.285120714729,0.161636913607,0.364384190481,0.511223649869,0.0928716496009,0.588322398262,../../../MIT2kFaceDataset/2kfaces/Andrew_Baugh_17_oval.jpg,733.17966092,120.736715623,49.5134802961
eDataset,0.0,45.0998891351,58.137767415,19.0311288741,236.078376816,3.58113883008,26.6726175299,164.003048752,129.757466067,122.429571591,70.1141925718,121.190449294,67.8092712967,30.5941170816,124.090653374,95.7405347802,1.70797131722,0.694697460073,1.26391994021,0.775741676029,0.0806136043921,0.134262744407,0.0151692792808,0.518597142366,0.287232029512,0.129593050809,0.405545548354,0.525633287758,0.145060225962,0.549637234111,../../../MIT2kFaceDataset/2kfaces/Andrew_Cuevas_3_oval.jpg,771.648135889,163.15695328,24.88779731
